longitude,latitude
-3.242277,53.206199
-3.825415,53.32246
-3.527136,52.997654
-3.187613,53.240422
-3.731112,53.296248
-3.238641,53.303342
-2.983508,53.039001
-4.120773,53.229303
-3.000716,53.231809
-3.7338,53.29594
-3.830933,53.324749
-3.04642,53.19411
-3.827609,53.281035
-3.994803,53.248444
-3.51556,53.298778
-3.052041,53.191993
-3.468521,53.305462
-3.781196,53.059587
-4.641678,53.285339
-4.011829,52.739426
-3.519525,53.269286
-3.305849,53.273535
-3.09652,53.070835
-2.984622,53.068909
-3.06974,52.982709
-4.174473,53.200041
-4.458969,52.878255
-4.225412,53.123728
-3.20133,53.062775
-3.735325,53.302085
-3.029342,53.046533
-3.440265,53.316306
-3.207473,53.289566
-3.322784,53.080086
-3.137043,53.168729
-4.116029,52.633491
-3.44255,53.233105
-3.824212,53.196678
-3.822967,53.316825
-3.73356,53.048406
-3.266529,53.019999
-3.110303,53.180668
-3.818719,53.224991
-3.853731,53.10042
-3.065948,53.052531
-4.126519,53.22885
-3.424707,53.30486
-3.740352,53.308358
-2.998488,53.047623
-3.854311,53.207235
-2.937248,53.060554
-2.966307,53.087452
-4.120263,53.117332
-4.089008,52.924336
-2.995632,53.043431
-3.117105,53.155622
-3.205812,53.015919
-3.250936,53.049417
-3.00977,53.096926
-3.760607,53.310704
-3.144579,53.086501
-4.320624,53.294962
-3.458094,53.274314
-3.196911,53.28204
-2.999417,53.091629
-2.981652,53.169904
-3.262831,53.308356
-3.726576,53.292053
-3.486483,53.32267
-3.404197,53.33156
-3.007949,53.047768
-3.930366,52.958299
-3.729709,53.294588
-2.999084,53.039204
-3.392014,53.180936
-4.050357,52.544075
-4.493138,53.228125
-3.137715,53.176058
-4.402305,53.198379
-2.990121,53.047064
-2.944494,53.109382
-3.106529,53.114225
-3.190245,53.155399
-4.496528,52.864316
-3.067849,53.053377
-3.02141,53.196745
-4.048878,53.034697
-3.77462,52.781821
-3.795616,53.085164
-3.033034,53.052461
-3.188978,53.241559
-3.067793,52.968406
-3.117508,53.180951
-4.036125,53.229737
-3.035226,53.194226
-4.061901,53.093479
-3.628831,52.877414
-3.236002,53.280527
-3.704946,53.288813
-3.367803,53.338401
-4.139175,53.24077
-3.486112,53.318054
-2.974624,53.052433
-4.154691,53.214004
-3.384502,53.10844
-3.073145,52.968043
-3.801391,53.142256
-4.164894,53.183762
-3.071041,53.171193
-3.987136,53.243429
-3.749209,53.312427
-3.471404,53.292867
-3.795574,53.125397
-3.4724,53.311347
-3.117149,53.155586
-3.304979,53.113815
-4.206369,53.147621
-3.881924,52.908368
-2.994077,53.051076
-3.79081,53.279167
-3.409446,53.044741
-4.029177,52.940685
-3.074976,53.220249
-3.014576,53.033949
-4.261085,53.182532
-4.174208,53.207508
-4.587964,53.263517
-4.478018,53.399356
-4.134274,53.227219
-2.983076,53.049514
-2.991898,53.045188
-3.146303,53.17265
-3.046631,53.17328
-3.005553,53.056347
-2.981848,53.040085
-3.031323,53.026397
-3.813302,53.320784
-3.645959,53.290478
-4.191938,53.220391
-3.796682,53.242146
-4.478095,52.859981
-3.033055,53.156201
-4.297365,53.254449
-3.238655,53.116915
-3.047396,53.062692
-2.998109,53.048022
-3.429737,53.334583
-4.316897,53.246339
-3.832795,53.312844
-3.782704,53.285509
-3.016909,53.201377
-3.53682,53.300349
-3.464984,53.301684
-4.154863,53.1446
-3.042237,53.157398
-3.828011,53.280274
-3.681313,53.258529
-4.115432,53.190549
-3.40617,53.185517
-3.007733,53.212261
-3.252297,53.050562
-2.991583,53.045766
-3.81285,53.311198
-3.821313,53.316059
-3.634883,52.697931
-3.044628,53.19489
-4.52839,53.324319
-3.084436,52.977731
-4.259439,53.051491
-3.431357,53.053235
-4.104071,52.816445
-4.383123,53.252567
-3.435003,53.051582
-3.025503,53.070182
-3.041903,53.014394
-3.069761,53.197328
-4.184411,53.222318
-3.781989,52.778545
-3.374732,53.098125
-4.272062,53.238679
-3.030336,53.097568
-3.507305,53.270169
-4.316684,53.277902
-3.422138,53.337739
-2.798443,52.964443
-4.077088,53.303346
-3.043978,52.958917
-3.026621,53.206814
-2.99282,53.231138
-3.624368,52.700908
-3.024393,53.184359
-2.986604,53.168623
-2.998537,53.222487
-4.239632,53.194221
-4.632812,53.308527
-3.834591,53.238827
-3.815248,53.284218
-2.743893,52.963763
-3.482234,53.323101
-3.097587,53.136827
-3.001239,53.048526
-3.427405,53.205707
-3.219563,53.272633
-3.699477,53.289368
-4.486352,52.941445
-3.753209,53.056874
-3.126424,53.169405
-3.434008,53.219157
-3.226633,53.298027
-3.468643,53.282788
-3.042655,53.012202
-3.809295,53.281791
-4.301025,53.256716
-4.042099,52.941389
-4.506742,53.286806
-2.995495,53.050435
-3.182397,52.977866
-3.841468,52.708478
-3.99104,52.553207
-3.049381,53.216036
-3.344683,53.045014
-3.904477,52.801691
-3.741579,53.142526
-3.794267,53.083953
-3.910529,53.275933
-4.182053,53.223377
-3.581443,53.294075
-3.375924,53.270104
-3.426594,53.332211
-3.838501,53.269909
-3.19718,53.248705
-4.120057,53.229361
-4.254096,53.187969
-2.995006,53.044102
-3.815893,53.139734
-3.282815,53.092534
-3.583868,53.284594
-3.550652,53.28201
-3.043098,53.003982
-3.014085,53.060652
-3.18445,53.276205
-3.382997,52.992522
-3.512571,53.290222
-3.117179,53.155622
-2.980556,53.050847
-2.933122,53.046392
-3.952736,52.937965
-3.284245,53.279729
-3.020297,53.077895
-3.829786,53.313726
-4.320518,53.23708
-3.183394,53.275973
-4.037706,53.084339
-3.483398,52.955836
-3.082759,53.136846
-3.008413,53.07912
-3.408256,53.192999
-3.377914,53.039257
-2.992954,53.229815
-4.271959,53.139357
-3.003933,53.046319
-2.983033,53.050251
-3.341653,53.233511
-3.190732,53.28097
-3.024142,53.09585
-2.974773,53.052432
-2.995377,53.050499
-3.049697,53.118668
-3.79131,53.304394
-3.73914,53.299575
-3.500628,53.286345
-3.850899,52.756406
-4.608975,53.274613
-3.220527,53.273845
-4.281481,53.300491
-3.40701,53.336741
-2.990203,53.063002
-3.957164,52.943098
-3.141911,53.167865
-3.135876,53.187987
-3.725893,53.294086
-3.222818,53.275809
-4.135935,53.054825
-3.831229,53.321139
-3.38654,53.03522
-2.936436,53.027209
-3.045683,52.964152
-4.147813,53.220835
-3.48836,53.319662
-4.637828,53.308065
-4.218941,53.286585
-3.362147,53.273534
-3.034338,52.984784
-4.238838,53.167488
-4.434135,52.885187
-3.791853,53.280796
-3.186661,53.277513
-3.049953,53.191068
-3.190305,53.235918
-3.795732,53.258478
-4.233987,53.16944
-3.065803,53.222426
-4.402139,52.902536
-3.027923,53.207405
-3.305209,53.115017
-3.024049,53.085019
